id,msg_sender,reciever,message,message_time,story_sender,story,story_time,story_date
1,662,79,Duis bibendum.,3:01 PM,988,Ut at dolor quis odio consequat varius.,12:03 AM,6/16/2023
2,399,100,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",7:48 PM,160,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",6:35 AM,12/17/2023
3,598,63,Cras in purus eu magna vulputate luctus.,11:49 AM,868,Phasellus in felis. Donec semper sapien a libero. Nam dui.,8:30 AM,9/3/2023
4,284,92,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",9:07 AM,86,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,11:34 AM,6/12/2023
5,741,57,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2:18 AM,773,In congue. Etiam justo.,6:30 PM,1/22/2024
6,580,97,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,5:51 PM,704,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",9:07 PM,11/10/2023
7,420,66,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,6:03 AM,691,Integer a nibh. In quis justo.,2:16 AM,8/16/2023
8,916,81,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",8:31 AM,720,Duis at velit eu est congue elementum.,9:45 PM,12/2/2023
9,333,13,Etiam vel augue.,5:00 PM,426,Integer ac neque. Duis bibendum.,10:15 AM,6/12/2023
10,766,53,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1:28 PM,485,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",12:42 PM,6/17/2023
